Date,Daily_Return_Percent,Cumulative_Return_Percent
2024-12-26,3.41998576,99.40053553
2024-12-27,-1.937898032,95.53635647
2024-12-30,0.267800118,96.06000307
2024-12-31,0.697365995,97.42725886
2025-01-01,0,97.427259
2025-01-02,2.079229,99.454831
2025-01-03,1.738459,101.183089
2025-01-06,2.11,103.31309
2025-01-07,1.840214,105.214053
2025-01-08,1.593549,106.892004
2025-01-09,2.11,109.145824
2025-01-10,4.20684,113.738564
2025-01-13,2.35288,116.415244
2025-01-14,4.480238,121.634506
2025-01-15,6.068307,129.014937
2025-01-16,3.979195,134.149682
2025-01-17,3.287537,138.559318
2025-01-20,2.11,141.479686
2025-01-21,3.292781,146.134844
2025-01-22,1.304199,148.040715
2025-01-23,0.612874,148.948433
2025-01-24,4.056869,155.000106
2025-01-27,2.11,158.262608
2025-01-28,2.747403,162.610179
2025-01-29,2.250502,166.268887
2025-01-30,2.150717,169.846256
2025-01-31,4.14568,176.891085
2025-02-03,0,176.891085
2025-02-04,2.366707,181.074958
2025-02-05,1.567378,183.914476
2025-02-06,0.182796,184.250219
2025-02-07,0.179854,184.581458
2025-02-10,0,184.581458
2025-02-11,0.112477,184.789088
2025-02-12,-1.769724,181.521738
2025-02-13,-1.349905,179.073289
2025-02-14,-0.249544,178.626454
2025-02-17,0,178.626454
2025-02-18,0.732215,180.93403
2025-02-19,0.763652,182.316007
2025-02-20,2.916529,187.633321
2025-02-21,-2.414314,183.102835
2025-02-24,0.75788,184.490086
2025-02-25,0.543383,185.493023
2025-02-26,1.696216,188.639928
2025-02-27,0.284858,189.177517
2025-02-28,1.240541,191.524234
2025-03-03,0,191.524234
2025-03-04,0.558352,192.593611
2025-03-05,-0.653599,191.333763
2025-03-06,-0.510254,190.357419
2025-03-07,-0.560677,189.290528
2025-03-10,0,189.290528
2025-03-11,1.541655,192.206825
2025-03-12,0.409309,193.093158
2025-03-13,0.545735,194.147062
2025-03-14,0.009272,194.16506
2025-03-17,0,194.16506
2025-03-18,-1.060721,192.106157
2025-03-19,-0.647302,190.863036
2025-03-20,-0.956915,189.037318
2025-03-21,-0.10174,188.844839
2025-03-24,-1.737358,185.564623
2025-03-25,0.811585,187.070757
2025-03-26,1.409264,189.705934
2025-03-27,1.271755,192.120076
2025-03-28,0.705155,193.475113
2025-03-31,0,193.475113
2025-04-01,1.254003,195.901683
2025-04-02,0.875,197.61715
2025-04-03,0.956862,199.509056
2025-04-04,-1.725622,196.068055
2025-04-07,0,196.068055
2025-04-08,-0.328856,195.423431
2025-04-09,1.928807,199.192847
2025-04-10,-0.196377,198.801695
2025-04-11,0.313802,199.426018
2025-04-14,0,199.426018
2025-04-15,0.272358,199.969204
2025-04-16,-0.015872,199.937459
2025-04-17,0.215679,200.368893
2025-04-18,0,200.368893
2025-04-21,0,200.368893
2025-04-22,0.356171,201.082647
2025-04-23,0.169778,201.424294
2025-04-24,0.695483,202.826156
2025-04-25,0.94164,204.736847
2025-04-28,0,204.736847
2025-04-29,-0.640091,203.427145
2025-04-30,0.435211,204.312832
2025-05-01,-1.846645,200.538766
2025-05-02,0.73497,202.012998
2025-05-05,-0.812853,200.3709
2025-05-06,1.25577,202.888265
2025-05-07,-1.666112,199.504968
2025-05-08,0.042665,199.590127
2025-05-09,-0.583119,198.426622
2025-05-12,0,198.426622
2025-05-13,2.549652,203.48808
2025-05-14,-0.897012,201.661726
2025-05-15,0.989652,203.657479
2025-05-16,0.284476,204.23713
2025-05-19,0,204.23713
2025-05-20,-0.32742,203.568872
2025-05-21,0.637025,205.86709
2025-05-22,0.397779,206.685747
2025-05-23,0.689146,208.109797
2025-05-26,0,208.109797
2025-05-27,-1.415747,205.163595
2025-05-28,-0.610909,203.911097
2025-05-29,0.420552,204.769188
2025-05-30,-0.346352,204.060071
2025-06-02,0,204.060071
2025-06-03,-0.314873,203.417536
2025-06-04,-0.988949,201.406148
2025-06-05,0.043414,201.493565
2025-06-06,0.253729,202.00526
2025-06-09,-0.792733,200.404006
2025-06-10,0.125656,200.65587
2025-06-11,0.366911,201.392355
2025-06-12,1.363176,204.137842
2025-06-13,-1.740742,200.584886
2025-06-16,-0.097689,200.389073
2025-06-17,0.283505,200.957465
2025-06-18,-0.206605,200.542506
2025-06-19,0,200.542506
2025-06-20,1.558882,203.669018
2025-06-23,0,203.669018
2025-06-24,-0.595288,202.456653
2025-06-25,1.512829,205.521162
2025-06-26,-1.241452,202.971542
2025-06-27,0.779891,204.55555
2025-06-30,0,204.55555
2025-07-01,-0.637371,203.251721
2025-07-02,0.300909,203.863804
2025-07-03,0.085676,204.03853
2025-07-04,0,204.03853
2025-07-07,0.751175,205.571072
2025-07-08,-1.255721,203.990983
2025-07-09,-1.501379,200.925616
2025-07-10,1.780301,204.503193
2025-07-11,1.714944,208.009297
2025-07-12,0,208.009297
2025-07-15,1.999035,212.168329
2025-07-16,-1.610753,208.750936
2025-07-17,-0.011514,208.726912
2025-07-18,2.445648,213.830721
2025-07-21,0,215.484461
2025-07-22,0.343762,216.225225
2025-07-23,1.25474,218.9401
2025-07-24,0.838505,220.775951
2025-07-25,-0.830451,218.943054
2025-07-28,-4.577947,208.925021
2025-07-29,1.513884,212.090048
2025-07-30,-0.40128,211.238836
2025-07-31,-1.123113,210.115723
